행정구역,2022년_남_총인구수,2022년_남_연령구간인구수,2022년_남_0~9세,2022년_남_10~19세,2022년_남_20~29세,2022년_남_30~39세,2022년_남_40~49세,2022년_남_50~59세,2022년_남_60~69세,2022년_남_70~79세,2022년_남_80~89세,2022년_남_90~99세,2022년_남_100세 이상,2022년_여_총인구수,2022년_여_연령구간인구수,2022년_여_0~9세,2022년_여_10~19세,2022년_여_20~29세,2022년_여_30~39세,2022년_여_40~49세,2022년_여_50~59세,2022년_여_60~69세,2022년_여_70~79세,2022년_여_80~89세,2022년_여_90~99세,2022년_여_100세 이상
제주특별자치도  (5000000000),339590,339590,28140,36779,41252,40132,56630,60847,44241,21561,9216,783,9,338569,338569,26666,34094,36468,39407,54368,56415,44764,25360,17072,3733,222
제주특별자치도 제주시 (5011000000),246504,246504,21113,27534,31445,30746,41292,43244,30370,14308,5927,520,5,246885,246885,20021,25607,28246,29878,40256,41159,30998,16978,11071,2521,150
제주특별자치도 서귀포시 (5013000000),93086,93086,7027,9245,9807,9386,15338,17603,13871,7253,3289,263,4,91684,91684,6645,8487,8222,9529,14112,15256,13766,8382,6001,1212,72
