행정구역,2018년_남_총인구수,2018년_남_연령구간인구수,2018년_남_0~9세,2018년_남_10~19세,2018년_남_20~29세,2018년_남_30~39세,2018년_남_40~49세,2018년_남_50~59세,2018년_남_60~69세,2018년_남_70~79세,2018년_남_80~89세,2018년_남_90~99세,2018년_남_100세 이상,2018년_여_총인구수,2018년_여_연령구간인구수,2018년_여_0~9세,2018년_여_10~19세,2018년_여_20~29세,2018년_여_30~39세,2018년_여_40~49세,2018년_여_50~59세,2018년_여_60~69세,2018년_여_70~79세,2018년_여_80~89세,2018년_여_90~99세,2018년_여_100세 이상
제주특별자치도  (5000000000),335719,335719,32824,38526,43079,44537,59150,56355,34342,19690,6762,427,27,331472,331472,30895,35193,38635,43190,54212,52043,35278,24185,14706,2915,220
제주특별자치도 제주시 (5011000000),243974,243974,24894,29212,32399,33511,42849,39914,23540,12909,4444,286,16,241972,241972,23383,26572,29151,32699,40703,37535,24195,15940,9666,1987,141
제주특별자치도 서귀포시 (5013000000),91745,91745,7930,9314,10680,11026,16301,16441,10802,6781,2318,141,11,89500,89500,7512,8621,9484,10491,13509,14508,11083,8245,5040,928,79
