행정구역,2014년_남_총인구수,2014년_남_연령구간인구수,2014년_남_0~9세,2014년_남_10~19세,2014년_남_20~29세,2014년_남_30~39세,2014년_남_40~49세,2014년_남_50~59세,2014년_남_60~69세,2014년_남_70~79세,2014년_남_80~89세,2014년_남_90~99세,2014년_남_100세 이상,2014년_여_총인구수,2014년_여_연령구간인구수,2014년_여_0~9세,2014년_여_10~19세,2014년_여_20~29세,2014년_여_30~39세,2014년_여_40~49세,2014년_여_50~59세,2014년_여_60~69세,2014년_여_70~79세,2014년_여_80~89세,2014년_여_90~99세,2014년_여_100세 이상
제주특별자치도  (5000000000),304656,304656,31850,41603,37298,43458,56427,47282,25865,16256,4192,404,21,302690,302690,29813,37599,33585,41510,51460,44863,27255,22159,11530,2736,180
제주특별자치도 제주시 (5011000000),224581,224581,24824,31960,28241,32964,41654,33657,17545,10656,2791,274,15,224253,224253,23214,28646,25505,32371,39435,32422,18518,14486,7654,1878,124
제주특별자치도 서귀포시 (5013000000),80075,80075,7026,9643,9057,10494,14773,13625,8320,5600,1401,130,6,78437,78437,6599,8953,8080,9139,12025,12441,8737,7673,3876,858,56
